Species,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9
sp1,-0.2760307922912968,-0.6668102934732885,-0.18385574565225477,0.8001691265001898,-0.16531069604653728,-0.7688460286954916,0.5266775998061379,0.15283846922304672,0.0025613215714324917
sp2,0.038409499279855666,-0.04965582957950769,0.13169917852507135,-0.6325321994072337,0.19424007584180875,0.5883964651876967,-0.27858659932425256,-0.1436161067178518,-0.023484137895521385
sp3,0.1065567005944269,-0.4436772907600706,-0.5345417985311945,0.08077537303110775,0.09913639175898463,-0.05669513073857158,0.37111469576682726,0.0624472454741056,0.010642695746712288
sp4,-0.17358828635726764,0.3428312843160604,0.09593180975231312,-0.06369739172309195,0.052231916063883124,0.3913996006272408,-0.2752578622341316,0.22441959252640578,0.006882519087672538
sp5,0.07302485978096199,-0.31923364336239773,-0.15446547916872905,0.03206312080434073,-0.4129670815559881,-0.34265541511493264,0.2797371895899346,0.026938144534219763,0.03618551338885339
sp6,0.006031771843609041,-0.13314240202612676,-0.17833492257328185,-0.31523537813419383,0.13334983660958766,-0.39296666144023057,0.16720553137542957,0.09549098184730154,0.025116267380302676
sp7,0.10741894939237301,-0.09300913180673465,0.0059238044448202964,0.648722427132825,-0.1431914257260549,-0.3711471023726278,-0.36616980759310086,0.10394983120409561,0.004494158884218496
sp8,-0.17621906339903834,0.5236792803055671,0.07463217127185232,-0.6324864018287496,0.1957279291017184,0.6723752825793854,-0.3874921769172805,-0.37086315491138594,0.005777508771890653
sp9,-2.201454263838144,1.7021176650890506,-0.30157521582238717,0.6229259414260282,-0.6033577942307664,-0.17476905310868812,-1.0713269480352523,1.689881958980683,-0.2310159284737971
